Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"naya raipur officially known as atal nagar nava raipur is a planned city and fully greenfield city in indian state of chhattisgarh it is planned to replace raipur as the capital city of chhattisgarh the government of chhattisgarh the states administrative body is situated here the city is located between national highway  and national highway  about  km south east of the capital city raipur swami vivekananda airport separates raipur and nava raipur  
",naya raipur officially known atal nagar nava raipur planned city fully greenfield city indian state chhattisgarh planned replace raipur capital city chhattisgarh government chhattisgarh states administrative body situated city located national highway national highway km south east capital city raipur swami vivekananda airport separates raipur nava raipur,5.49,"naya,raipur,officially,known,atal,nagar,nava,raipur,planned,city,fully,greenfield,city,indian,state,chhattisgarh,planned,replace,raipur,capital,city,chhattisgarh,government,chhattisgarh,states,administrative,body,situated,city,located,national,highway,national,highway,km,south,east,capital,city,raipur,swami,vivekananda,airport,separates,raipur,nava,raipur",0.00,raipur
"after the formation of the new state of chhattisgarh in november  the state government decided to create a well planned new city for raipur hence a special area has been notified under section  of nagar tatha gramnivesh adhiniyam 
",formation new state chhattisgarh november state government decided create planned new city raipur special area notified section nagar tatha gramnivesh adhiniyam,7.36,"formation,new,state,chhattisgarh,november,state,government,decided,create,planned,new,city,raipur,special,area,notified,section,nagar,tatha,gramnivesh,adhiniyam",0.00,raipur
"the main activity base of naya raipur would be the governmentstate capital functions however a diversification of economy is desirable which would be attained through the following activities
",main activity base naya raipur governmentstate capital functions diversification economy desirable attained following activities,7.29,"main,activity,base,naya,raipur,governmentstate,capital,functions,diversification,economy,desirable,attained,following,activities",0.00,raipur
"while venturing to prepare the development plan for naya raipur basic studies were made in the form of a secondary survey of data on chandigarh  and raipur the elder sister and the most important organic metropolis in the region
",venturing prepare development plan naya raipur basic studies form secondary survey data chandigarh raipur elder sister important organic metropolis region,8.30,"venturing,prepare,development,plan,naya,raipur,basic,studies,form,secondary,survey,data,chandigarh,raipur,elder,sister,important,organic,metropolis,region",0.00,raipur
"with iterations the allocated spaces were again translated in terms of number of jobs and the total number of job in the city arrived at with a population of  lakhs the naya raipur city will be expected to generate approximately  lakh jobs with an assumed workforce participation rate of  the high standards of physical and social infrastructure adopted for the city will be able to cope with the maximum capacity of the city
",iterations allocated spaces translated terms number jobs total number job city arrived population lakhs naya raipur city expected generate approximately lakh jobs assumed workforce participation rate high standards physical social infrastructure adopted city able cope maximum capacity city,8.22,"iterations,allocated,spaces,translated,terms,number,jobs,total,number,job,city,arrived,population,lakhs,naya,raipur,city,expected,generate,approximately,lakh,jobs,assumed,workforce,participation,rate,high,standards,physical,social,infrastructure,adopted,city,able,cope,maximum,capacity,city",0.00,raipur
"naya raipur will form the hub of educational institutions in the state of chhattisgarh the city will have premier educational institutions shifted from raipur a few of them are
",naya raipur form hub educational institutions state chhattisgarh city premier educational institutions shifted raipur,8.47,"naya,raipur,form,hub,educational,institutions,state,chhattisgarh,city,premier,educational,institutions,shifted,raipur",0.00,raipur
