Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the chhattisgarh vidhan sabha or the chhattisgarh legislative assembly is the unicameral state legislature of chhattisgarh state in india
",chhattisgarh vidhan sabha chhattisgarh legislative assembly unicameral state legislature chhattisgarh state india,5.07,"chhattisgarh,vidhan,sabha,chhattisgarh,legislative,assembly,unicameral,state,legislature,chhattisgarh,state,india",0.00,chhattisgarh
"the state of chhattisgarh was created by the madhya pradesh reorganization act  approved by the president of india on  august  the chhattisgarh vidhan sabha came into existence with the creation of the state on  november  the first session of the chhattisgarh vidhan sabha was held at jashpur hall of rajkumar college in raipur later the vidhan sabha was shifted to the newly constructed chhattisgarh vidhan sabha bhavan at vidhan nagar on raipurbaloda bazar roada new building for vidhan sabha is under construction at sector  atal nagar behind indravati bhawan  mahanadi bhawan the groundbreaking ceremony was done by bhupesh baghel on  august  in the presence of leaders like rahul gandhi sonia gandhi and other ministers the construction is currently halted since  and all tenders are cancelled by the government of chhattisgarh due to the covid  pandemic in chhattisgarh the inauguration is expected to be on or after 
",state chhattisgarh created madhya pradesh reorganization act approved president india august chhattisgarh vidhan sabha came existence creation state november session chhattisgarh vidhan sabha held jashpur hall rajkumar college raipur later vidhan sabha shifted newly constructed chhattisgarh vidhan sabha bhavan vidhan nagar raipurbaloda bazar roada new building vidhan sabha construction sector atal nagar indravati bhawan mahanadi bhawan groundbreaking ceremony bhupesh baghel august presence leaders like rahul gandhi sonia gandhi ministers construction currently halted tenders cancelled government chhattisgarh covid pandemic chhattisgarh inauguration expected,7.03,"state,chhattisgarh,created,madhya,pradesh,reorganization,act,approved,president,india,august,chhattisgarh,vidhan,sabha,came,existence,creation,state,november,session,chhattisgarh,vidhan,sabha,held,jashpur,hall,rajkumar,college,raipur,later,vidhan,sabha,shifted,newly,constructed,chhattisgarh,vidhan,sabha,bhavan,vidhan,nagar,raipurbaloda,bazar,roada,new,building,vidhan,sabha,construction,sector,atal,nagar,indravati,bhawan,mahanadi,bhawan,groundbreaking,ceremony,bhupesh,baghel,august,presence,leaders,like,rahul,gandhi,sonia,gandhi,ministers,construction,currently,halted,tenders,cancelled,government,chhattisgarh,covid,pandemic,chhattisgarh,inauguration,expected",0.00,chhattisgarh
"chhattisgarh vidhan sabha sits for three sessions 
",chhattisgarh vidhan sabha sits sessions,3.92,"chhattisgarh,vidhan,sabha,sits,sessions",0.00,chhattisgarh
