Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"chandigarh amritsar chandigarh is a  indian punjabi romantic comedy film written by naresh kathooria and directed by karan guliani produced by sumit dutt  dreembook productions in association with leostride entertainment it stars gippy grewal sargun mehta and rajpal yadav in lead roles it is an official remake of a  marathi film mumbai pune mumbai the film was released on  may 
",chandigarh amritsar chandigarh indian punjabi romantic comedy film written naresh kathooria directed karan guliani produced sumit dutt dreembook productions association leostride entertainment stars gippy grewal sargun mehta rajpal yadav lead roles official remake marathi film mumbai pune mumbai film released,5.25,"chandigarh,amritsar,chandigarh,indian,punjabi,romantic,comedy,film,written,naresh,kathooria,directed,karan,guliani,produced,sumit,dutt,dreembook,productions,association,leostride,entertainment,stars,gippy,grewal,sargun,mehta,rajpal,yadav,lead,roles,official,remake,marathi,film,mumbai,pune,mumbai,film,released",0.00,chandigarh
"chandigarh amritsar chandigarh was released worldwide on  may  by omjee group the film clashed with ammy virk starrer muklawa it was the second major clash in punjabi cinema after love punjab was clashed with ardaas
",chandigarh amritsar chandigarh released worldwide omjee group film clashed ammy virk starrer muklawa second major clash punjabi cinema love punjab clashed ardaas,6.02,"chandigarh,amritsar,chandigarh,released,worldwide,omjee,group,film,clashed,ammy,virk,starrer,muklawa,second,major,clash,punjabi,cinema,love,punjab,clashed,ardaas",0.00,chandigarh
"chandigarh amritsar chandigarh netted  lakhs on its opening day in india
",chandigarh amritsar chandigarh netted lakhs opening day india,4.11,"chandigarh,amritsar,chandigarh,netted,lakhs,opening,day,india",0.00,chandigarh
