Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the swiss hitparade  is switzerlands main music sales charts the charts are a record of the highest selling singles and albums in various genres in switzerland
",swiss hitparade switzerlands main music sales charts charts record highest selling singles albums genres switzerland,6.88,"swiss,hitparade,switzerlands,main,music,sales,charts,charts,record,highest,selling,singles,albums,genres,switzerland",0.00,switzerland
"since  hitparades compiler media control has also set up les charts a record chart of the highest selling singles and albums in romandie the francophone region of switzerland
",hitparades compiler media control set les charts record chart highest selling singles albums romandie francophone region switzerland,6.29,"hitparades,compiler,media,control,set,les,charts,record,chart,highest,selling,singles,albums,romandie,francophone,region,switzerland",0.00,switzerland
