Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"in april the band returned to london for the recording of their fourth album and went to israel where they were not well received monroe could not leave the hotel because of his somewhat unconventional appearance local people thought he was an improperly dressed woman and would gather around and spit on him also nasty suicide broke his ankle and people did not like the bands loud playing style in late spring hanoi rocks toured london and norway and released a single before the new album malibu beach  rebel on the run
",april band returned london recording fourth album went israel received monroe leave hotel somewhat unconventional appearance local people thought improperly dressed woman gather spit nasty suicide broke ankle people like bands loud playing style late spring hanoi rocks toured london norway released single new album malibu beach rebel run,8.22,"april,band,returned,london,recording,fourth,album,went,israel,received,monroe,leave,hotel,somewhat,unconventional,appearance,local,people,thought,improperly,dressed,woman,gather,spit,nasty,suicide,broke,ankle,people,like,bands,loud,playing,style,late,spring,hanoi,rocks,toured,london,norway,released,single,new,album,malibu,beach,rebel,run",0.00,hanoi
"the bands fourth album back to mystery city was released shortly afterward it reached number  on the uk albums chart hanoi rocks toured the uk and in finland until june  when the band made a deal with cbs worth 
",bands fourth album mystery city released shortly afterward reached number uk albums chart hanoi rocks toured uk finland june band deal cbs worth,7.55,"bands,fourth,album,mystery,city,released,shortly,afterward,reached,number,uk,albums,chart,hanoi,rocks,toured,uk,finland,june,band,deal,cbs,worth",0.00,hanoi
"in august  hanoi rocks released the  single until i get you  tragedy and the  maxi single until i get you  tragedy  oriental beat on  august lick records released hanoi rockss first three albums in britain for the first time the next day the band played a show at the ruisrock festival in turku finland before the show michael monroe stated in an interview with the finnish television station yle that mccoy and suicides alcohol use had gotten out of hand and that he did not drink or use drugs in october  producer bob ezrin flew from the us to see hanoi rocks live in london and in december he was confirmed as the producer for the next album
",august hanoi rocks released single tragedy maxi single tragedy oriental beat august lick records released hanoi rockss albums britain time day band played ruisrock festival turku finland michael monroe stated interview finnish television station yle mccoy suicides alcohol use gotten hand drink use drugs october producer bob ezrin flew hanoi rocks live london december confirmed producer album,9.46,"august,hanoi,rocks,released,single,tragedy,maxi,single,tragedy,oriental,beat,august,lick,records,released,hanoi,rockss,albums,britain,time,day,band,played,ruisrock,festival,turku,finland,michael,monroe,stated,interview,finnish,television,station,yle,mccoy,suicides,alcohol,use,gotten,hand,drink,use,drugs,october,producer,bob,ezrin,flew,hanoi,rocks,live,london,december,confirmed,producer,album",0.00,hanoi
"in early  hanoi rocks and bob ezrin recorded two steps from the move in new york and toronto ezrin had invited ian hunter of mott the hoople to help with the songwriting and hunter brought jack bruce  who in turn brought pete brown to the recording sessions brown wrote a lot of lyrics but the only one the band used was smoked a lot of sky drank a lot of rain in million miles away
",early hanoi rocks bob ezrin recorded steps new york toronto ezrin invited ian hunter mott hoople help songwriting hunter brought jack bruce turn brought pete brown recording sessions brown wrote lot lyrics band smoked lot sky drank lot rain million miles away,8.62,"early,hanoi,rocks,bob,ezrin,recorded,steps,new,york,toronto,ezrin,invited,ian,hunter,mott,hoople,help,songwriting,hunter,brought,jack,bruce,turn,brought,pete,brown,recording,sessions,brown,wrote,lot,lyrics,band,smoked,lot,sky,drank,lot,rain,million,miles,away",0.00,hanoi
"in may  hanoi rocks went on tour in bombay and japan in japan excitement over the band led to sold out concert halls and fans following the band everywhere even in finland people were baffled by the extent of the bands popularity in japan
",hanoi rocks went tour bombay japan japan excitement band led sold concert halls fans following band finland people baffled extent bands popularity japan,8.79,"hanoi,rocks,went,tour,bombay,japan,japan,excitement,band,led,sold,concert,halls,fans,following,band,finland,people,baffled,extent,bands,popularity,japan",0.00,hanoi
"on  december hanoi rocks band members  were partying with their friends mtley cre at lead singer vince neils house the party stopped when everybody noticed they were out of beer neil and razzle both drunk went to a nearby liquor store in neils pantera with neil driving on the way back they crashed into another car razzle was rushed to the hospital and pronounced dead at  pm he had died instantly in the collision
",december hanoi rocks band members partying friends mtley cre lead singer vince neils house party stopped everybody noticed beer neil razzle drunk went nearby liquor store neils pantera neil driving way crashed car razzle rushed hospital pronounced dead pm died instantly collision,7.69,"december,hanoi,rocks,band,members,partying,friends,mtley,cre,lead,singer,vince,neils,house,party,stopped,everybody,noticed,beer,neil,razzle,drunk,went,nearby,liquor,store,neils,pantera,neil,driving,way,crashed,car,razzle,rushed,hospital,pronounced,dead,pm,died,instantly,collision",0.00,hanoi
"in  after the shows sam yaffa left the group due to personal differences with andy mccoy the band returned to london to take a short break yaffa was replaced by bassist ren berg terry chimes remained as the new drummer monroe planned to quit but the record label convinced him to do a short tour in poland where do not you ever leave me was rising on the charts monroe agreed on the condition that no live record would be released but a semi official live album was released entitled rock  roll divorce the album was panned by the managers band members and critics ren berg often stated that hanoi rocks was his band which led to his replacement by bassist timo kaltio this line up never performed live and on  june  monroe officially left hanoi rocks ending the band at the same time do not you ever leave me rose to number  on the polish singles chart and hanoi rockss popularity continued into the s
",shows sam yaffa left group personal differences andy mccoy band returned london short break yaffa replaced bassist ren berg terry chimes remained new drummer monroe planned quit record label convinced short tour poland leave rising charts monroe agreed condition live record released semi official live album released entitled rock roll divorce album panned managers band members critics ren berg stated hanoi rocks band led replacement bassist timo kaltio line performed live june monroe officially left hanoi rocks ending band time leave rose number polish singles chart hanoi rockss popularity continued,8.42,"shows,sam,yaffa,left,group,personal,differences,andy,mccoy,band,returned,london,short,break,yaffa,replaced,bassist,ren,berg,terry,chimes,remained,new,drummer,monroe,planned,quit,record,label,convinced,short,tour,poland,leave,rising,charts,monroe,agreed,condition,live,record,released,semi,official,live,album,released,entitled,rock,roll,divorce,album,panned,managers,band,members,critics,ren,berg,stated,hanoi,rocks,band,led,replacement,bassist,timo,kaltio,line,performed,live,june,monroe,officially,left,hanoi,rocks,ending,band,time,leave,rose,number,polish,singles,chart,hanoi,rockss,popularity,continued",0.00,hanoi
"in february  monroe and mccoy performed together for the first time since  in turku finland they toured again in the summer of  under the moniker hanoi revisited
",february monroe mccoy performed time turku finland toured summer moniker hanoi revisited,9.26,"february,monroe,mccoy,performed,time,turku,finland,toured,summer,moniker,hanoi,revisited",0.00,hanoi
"after the short tour monroe and mccoy agreed to reform the band this would be  a rebirth not a reformation of hanoi rocks mainly because none of the other members were able to join razzle was dead nasty suicide had become a pharmacist sami yaffa was a member of a new york based group called mad juana and the bassist for the new york dolls and gyp casino was no longer active in music the muddy twins chose kari lacu lahtinen from monroes solo band to play the drums timpa laine  to play the bass and  costello hautamki from the finnish rock band popeda to play guitar
",short tour monroe mccoy agreed reform band rebirth reformation hanoi rocks mainly members able join razzle dead nasty suicide pharmacist sami yaffa member new york based group called mad juana bassist new york dolls gyp casino longer active music muddy twins chose kari lacu lahtinen monroes solo band play drums timpa laine play bass costello hautamki finnish rock band popeda play guitar,7.89,"short,tour,monroe,mccoy,agreed,reform,band,rebirth,reformation,hanoi,rocks,mainly,members,able,join,razzle,dead,nasty,suicide,pharmacist,sami,yaffa,member,new,york,based,group,called,mad,juana,bassist,new,york,dolls,gyp,casino,longer,active,music,muddy,twins,chose,kari,lacu,lahtinen,monroes,solo,band,play,drums,timpa,laine,play,bass,costello,hautamki,finnish,rock,band,popeda,play,guitar",0.00,hanoi
"the new hanoi rocks toured mccoy and monroe made a deal that they would be equal writers on songs and not just mccoy by  the two had written enough songs for an album and twelve shots on the rocks was released although the album was a hit in finland and japan monroe and mccoy were not present when the album was mixed and when they heard the finished product they were not happy the album was remixed in  featuring two new songs moonlite dance and bad news
",new hanoi rocks toured mccoy monroe deal equal writers songs mccoy written songs album shots rocks released album hit finland japan monroe mccoy present album mixed heard finished product happy album remixed featuring new songs moonlite dance bad news,10.48,"new,hanoi,rocks,toured,mccoy,monroe,deal,equal,writers,songs,mccoy,written,songs,album,shots,rocks,released,album,hit,finland,japan,monroe,mccoy,present,album,mixed,heard,finished,product,happy,album,remixed,featuring,new,songs,moonlite,dance,bad,news",0.00,hanoi
