Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"chandigarh kare aashiqui  is a  indian hindi language romantic comedy film directed by abhishek kapoor it stars ayushmann khurrana and vaani kapoor and was released theatrically on  december  to positive response from the critics
",chandigarh kare aashiqui indian hindi language romantic comedy film directed abhishek kapoor stars ayushmann khurrana vaani kapoor released theatrically december positive response critics,4.78,"chandigarh,kare,aashiqui,indian,hindi,language,romantic,comedy,film,directed,abhishek,kapoor,stars,ayushmann,khurrana,vaani,kapoor,released,theatrically,december,positive,response,critics",0.00,chandigarh
"at the th filmfare awards chandigarh kare aashiqui received  nominations including best music director  and best female playback singer  and won best story 
",th filmfare awards chandigarh kare aashiqui received nominations including best music director best female playback singer best story,3.18,"th,filmfare,awards,chandigarh,kare,aashiqui,received,nominations,including,best,music,director,best,female,playback,singer,best,story",0.00,chandigarh
"bodybuilder manvinder manu munjal is the owner of a gym in chandigarh preparing for an annual competition goat unfortunately his gym fails to attract clients until zumba instructor maanvi brar walks into the gym and things start looking up financially manu falls in love with maanvi and as they are about to have their first kiss she says she wants to tell him something however manu refuses to hear her out and initiates sex although hesitant at the beginning she proceeds with it and they both approach climax later on they begin a sexual relationship manus family also likes maanvi and his sisters encourage him to marry her as manu eventually expresses his intention of wanting to marry her maanvi reveals she is a trans woman enraged and flabbergasted manu says he is going to seek revenge he is disgusted with himself because he keeps thinking he has had sex with a man his friends make derogatory references to maanvi which further infuriates him despite their fallout they continue to love each other
",bodybuilder manvinder manu munjal owner gym chandigarh preparing annual competition goat unfortunately gym fails attract clients zumba instructor maanvi brar walks gym things start looking financially manu falls love maanvi kiss says wants tell manu refuses hear initiates sex hesitant beginning proceeds approach climax later begin sexual relationship manus family likes maanvi sisters encourage marry manu eventually expresses intention wanting marry maanvi reveals trans woman enraged flabbergasted manu says going seek revenge disgusted keeps thinking sex man friends derogatory references maanvi infuriates despite fallout continue love,8.62,"bodybuilder,manvinder,manu,munjal,owner,gym,chandigarh,preparing,annual,competition,goat,unfortunately,gym,fails,attract,clients,zumba,instructor,maanvi,brar,walks,gym,things,start,looking,financially,manu,falls,love,maanvi,kiss,says,wants,tell,manu,refuses,hear,initiates,sex,hesitant,beginning,proceeds,approach,climax,later,begin,sexual,relationship,manus,family,likes,maanvi,sisters,encourage,marry,manu,eventually,expresses,intention,wanting,marry,maanvi,reveals,trans,woman,enraged,flabbergasted,manu,says,going,seek,revenge,disgusted,keeps,thinking,sex,man,friends,derogatory,references,maanvi,infuriates,despite,fallout,continue,love",0.00,chandigarh
"maanvi did not share a close bond with her mother but her father accepted her manu educates himself about trans women by watching videos interacting with a trans woman and seeking counseling with his friends to conclude that his relationship with maanvi is normal eventually he realizes being born in a male body was a biological defect that maanvi rectified via surgery and only he had to step up and accept her for who she was preet and meet find out maanvis truth and insult her in public as a result of public humiliation and her fathers heart attack she decides to leave chandigarh she rushes to the hospital where manu also shows up he tells her that he wants to be with her and stands up to his family for maanvi
",maanvi share close bond mother father accepted manu educates trans women watching videos interacting trans woman seeking counseling friends conclude relationship maanvi normal eventually realizes born male body biological defect maanvi rectified surgery step accept preet meet find maanvis truth insult public result public humiliation fathers heart attack decides leave chandigarh rushes hospital manu shows tells wants stands family maanvi,10.00,"maanvi,share,close,bond,mother,father,accepted,manu,educates,trans,women,watching,videos,interacting,trans,woman,seeking,counseling,friends,conclude,relationship,maanvi,normal,eventually,realizes,born,male,body,biological,defect,maanvi,rectified,surgery,step,accept,preet,meet,find,maanvis,truth,insult,public,result,public,humiliation,fathers,heart,attack,decides,leave,chandigarh,rushes,hospital,manu,shows,tells,wants,stands,family,maanvi",0.00,chandigarh
"principal photography commenced on  october  in chandigarh filming was wrapped up on  december 
",principal photography commenced october chandigarh filming wrapped december,5.21,"principal,photography,commenced,october,chandigarh,filming,wrapped,december",0.00,chandigarh
"the song chandigarh kare aashiqui is a remake of the same name song from the  album aashiqui by jassi sidhu and lyrics written by madan jalandhari
",song chandigarh kare aashiqui remake song album aashiqui jassi sidhu lyrics written madan jalandhari,8.16,"song,chandigarh,kare,aashiqui,remake,song,album,aashiqui,jassi,sidhu,lyrics,written,madan,jalandhari",0.00,chandigarh
"hiren kotwani of the times of india rated the film with  and praised the direction of abhishek kapoor writing he handles the hard hitting reality of the subject with sensitivity and maturity umesh punwani of koimoi gave the film a rating of  and wrote it entertains you at the same time addressing a sensitive subject beautifully painting the message of love is love devesh sharma of filmfare gave the film a rating of  and wrote ayushmann and vaani for giving their all to the film the film is not without flaws but what it is aiming at is such a huge thing that one would be wise to ignore them shubhra gupta of indian express gave the film a rating of  and wrote ayushmann khurrana chandigarh boy for real is right at home in his bristly brawny softie manu vaani kapoors svelte certified physical trainer with a troubled past takes you back to the flash of promise she had shown in shuddh desi romance saibal chatterjee of ndtv gave the film a rating of  and wrote despite all the woke noises that it seeks to make it eventually does not budge an inch from its received wisdom about what constitutes masculinity
",hiren kotwani times india rated film praised direction abhishek kapoor writing handles hard hitting reality subject sensitivity maturity umesh punwani koimoi gave film rating wrote entertains time addressing sensitive subject beautifully painting message love love devesh sharma filmfare gave film rating wrote ayushmann vaani giving film film flaws aiming huge thing wise ignore shubhra gupta indian express gave film rating wrote ayushmann khurrana chandigarh boy real right home bristly brawny softie manu vaani kapoors svelte certified physical trainer troubled past takes flash promise shown shuddh desi romance saibal chatterjee ndtv gave film rating wrote despite woke noises seeks eventually budge inch received wisdom constitutes masculinity,8.61,"hiren,kotwani,times,india,rated,film,praised,direction,abhishek,kapoor,writing,handles,hard,hitting,reality,subject,sensitivity,maturity,umesh,punwani,koimoi,gave,film,rating,wrote,entertains,time,addressing,sensitive,subject,beautifully,painting,message,love,love,devesh,sharma,filmfare,gave,film,rating,wrote,ayushmann,vaani,giving,film,film,flaws,aiming,huge,thing,wise,ignore,shubhra,gupta,indian,express,gave,film,rating,wrote,ayushmann,khurrana,chandigarh,boy,real,right,home,bristly,brawny,softie,manu,vaani,kapoors,svelte,certified,physical,trainer,troubled,past,takes,flash,promise,shown,shuddh,desi,romance,saibal,chatterjee,ndtv,gave,film,rating,wrote,despite,woke,noises,seeks,eventually,budge,inch,received,wisdom,constitutes,masculinity",0.00,chandigarh
"chandigarh kare aashiqui earned  crores at the indian box office on its opening day on the second day the film collected  crores on the third day the film collected  crores with the total domestic opening weekend collection becoming  crore
",chandigarh kare aashiqui earned crores indian box office opening day second day film collected crores day film collected crores total domestic opening weekend collection crore,5.83,"chandigarh,kare,aashiqui,earned,crores,indian,box,office,opening,day,second,day,film,collected,crores,day,film,collected,crores,total,domestic,opening,weekend,collection,crore",0.00,chandigarh
