Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"dispur  is the capital of the indian state of assam and is a suburb of guwahati
",dispur capital indian state assam suburb guwahati,11.25,"dispur,capital,indian,state,assam,suburb,guwahati",0.00,dispur
"dispur is the seat of power of government of assam the assam secretariat  building is located in dispur along with the assam legislative assembly house mla hostels and the state emergency operations centre the assam trunk road and the g s road passes through dispur to the south of dispur lies the theologically important site of basistha ashram and the shankardev kalakshetra a cultural centre created in the s next to dispur is the township of jatia
",dispur seat power government assam assam secretariat building located dispur assam legislative assembly house mla hostels state emergency operations centre assam trunk road g road passes dispur south dispur lies theologically important site basistha ashram shankardev kalakshetra cultural centre created dispur township jatia,7.52,"dispur,seat,power,government,assam,assam,secretariat,building,located,dispur,assam,legislative,assembly,house,mla,hostels,state,emergency,operations,centre,assam,trunk,road,g,road,passes,dispur,south,dispur,lies,theologically,important,site,basistha,ashram,shankardev,kalakshetra,cultural,centre,created,dispur,township,jatia",0.00,dispur
"dispur being a part of guwahati has warm summers and cold winters winters are also accompanied by occasional rainfalls that bring down the temperature further monsoon season in dispur commences from the month of june dispur monsoons are usually accompanied by severe thunderstorms along with heavy downpourscitation needed
",dispur guwahati warm summers cold winters winters accompanied occasional rainfalls bring temperature monsoon season dispur commences month june dispur monsoons usually accompanied severe thunderstorms heavy downpourscitation needed,6.50,"dispur,guwahati,warm,summers,cold,winters,winters,accompanied,occasional,rainfalls,bring,temperature,monsoon,season,dispur,commences,month,june,dispur,monsoons,usually,accompanied,severe,thunderstorms,heavy,downpourscitation,needed",0.00,dispur
"dispur is part of gauhati bjps atul bora is the incumbent mla of dispur 
",dispur gauhati bjps atul bora incumbent mla dispur,8.22,"dispur,gauhati,bjps,atul,bora,incumbent,mla,dispur",0.00,dispur
"being the capital it is a well planned locale there are many tourist spots in dispur 
",capital planned locale tourist spots dispur,11.63,"capital,planned,locale,tourist,spots,dispur",0.00,dispur
"dispur is home to many hospitals and healthcare centers including guwahati neurological research centre  hospitals dispur hospital and capital state dispensarycitation needed
",dispur home hospitals healthcare centers including guwahati neurological research centre hospitals dispur hospital capital state dispensarycitation needed,2.86,"dispur,home,hospitals,healthcare,centers,including,guwahati,neurological,research,centre,hospitals,dispur,hospital,capital,state,dispensarycitation,needed",0.00,dispur
