Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"indian institute of technology gandhinagar  is a public technical university located in gandhinagar gujarat india it has been declared to be an institute of national importance by the government of india established in  iit gandhinagar campus is spread over  acres of land along the river sabarmati
",indian institute technology gandhinagar public technical university located gandhinagar gujarat india declared institute national importance government india established iit gandhinagar campus spread acres land river sabarmati,6.69,"indian,institute,technology,gandhinagar,public,technical,university,located,gandhinagar,gujarat,india,declared,institute,national,importance,government,india,established,iit,gandhinagar,campus,spread,acres,land,river,sabarmati",0.00,gandhinagar
"iit gandhinagar is one of the eight indian institutes of technology  announced by the ministry of human resource development in  the institute began operating in a temporary campus at vishwakarma government engineering college chandkheda mentored by indian institute of technology bombay the first batch of students was admitted to three programmes chemical engineering mechanical engineering and electrical engineering
",iit gandhinagar indian institutes technology announced ministry human resource development institute began operating temporary campus vishwakarma government engineering college chandkheda mentored indian institute technology bombay batch students admitted programmes chemical engineering mechanical engineering electrical engineering,5.48,"iit,gandhinagar,indian,institutes,technology,announced,ministry,human,resource,development,institute,began,operating,temporary,campus,vishwakarma,government,engineering,college,chandkheda,mentored,indian,institute,technology,bombay,batch,students,admitted,programmes,chemical,engineering,mechanical,engineering,electrical,engineering",0.00,gandhinagar
"iitgn was included in the institutes of technology  act  the act was passed in the lok sabha on  march  and by the rajya sabha on  april  the iit gandhinagar campus is located on the banks of the sabarmati river in palaj village in  in his inaugural speech at the amalthea technology summit then gujarat chief minister narendra modi spoke of the land for the new permanent campus saying the state government has decided to give land on  year lease with a token amount of just one rupee for setting up a campus of iit gandhinagar the institute took possession of over  acres of land in august  and classes and other activities on the new campus began in july 
",iitgn included institutes technology act act passed lok sabha march rajya sabha april iit gandhinagar campus located banks sabarmati river palaj village inaugural speech amalthea technology summit gujarat chief minister narendra modi spoke land new permanent campus saying state government decided land year lease token rupee setting campus iit gandhinagar institute took possession acres land august classes activities new campus began july,8.50,"iitgn,included,institutes,technology,act,act,passed,lok,sabha,march,rajya,sabha,april,iit,gandhinagar,campus,located,banks,sabarmati,river,palaj,village,inaugural,speech,amalthea,technology,summit,gujarat,chief,minister,narendra,modi,spoke,land,new,permanent,campus,saying,state,government,decided,land,year,lease,token,rupee,setting,campus,iit,gandhinagar,institute,took,possession,acres,land,august,classes,activities,new,campus,began,july",0.00,gandhinagar
