Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
"the  dusitd complex attack was a terrorist attack that occurred from  to  january  in the westlands area of nairobi kenya which left  civilians and all five terrorists dead
",dusitd complex attack terrorist attack occurred january westlands area nairobi kenya left civilians terrorists dead,7.51,"dusitd,complex,attack,terrorist,attack,occurred,january,westlands,area,nairobi,kenya,left,civilians,terrorists,dead",0.00,nairobi
"the attack occurred at the  riverside drive complex in westlands nairobi kenya this is an upscale hotel and office complex which hosts the dusitd hotel and the commission on revenue allocation other clients of the complex amongst others include adam smith international amadeus it group lg electronics i  m bank jhpiego sap east africa and cellulant kenya ltd
",attack occurred riverside drive complex westlands nairobi kenya upscale hotel office complex hosts dusitd hotel commission revenue allocation clients complex include adam smith international amadeus group lg electronics bank jhpiego sap east africa cellulant kenya ltd,6.11,"attack,occurred,riverside,drive,complex,westlands,nairobi,kenya,upscale,hotel,office,complex,hosts,dusitd,hotel,commission,revenue,allocation,clients,complex,include,adam,smith,international,amadeus,group,lg,electronics,bank,jhpiego,sap,east,africa,cellulant,kenya,ltd",0.00,nairobi
