Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
how changed From him who  in the happy realms of light Clothed with transcendent brightness  didst outshine Myriads  though bright    if he whom mutual league  United thoughts and counsels  equal hope And hazard in the glorious enterprise Joined with me once  now misery hath joined In equal ruin  into what pit thou seest From what height fallen  so much the stronger proved He with his thunder  and till then who knew The force of those dire arms ,changed happy realms light Clothed transcendent brightness didst outshine Myriads bright mutual league United thoughts counsels equal hope hazard glorious enterprise Joined misery hath joined equal ruin pit thou seest height fallen stronger proved thunder till knew force dire arms,8.24,"changed,happy,realms,light,Clothed,transcendent,brightness,didst,outshine,Myriads,bright,mutual,league,United,thoughts,counsels,equal,hope,hazard,glorious,enterprise,Joined,misery,hath,joined,equal,ruin,pit,thou,seest,height,fallen,stronger,proved,thunder,till,knew,force,dire,arms",0.00,
Yet not for those  Nor what the potent Victor in his rage Can else inflict  do I repent  or change  Though changed in outward lustre  that fixed mind  And high disdain from sense of injured merit  That with the Mightiest raised me to contend  And to the fierce contentions brought along Innumerable force of Spirits armed  That durst dislike his reign  and  me preferring  His utmost power with adverse power opposed In dubious battle on the plains of Heaven  And shook his throne ,potent Victor rage inflict repent change changed outward lustre fixed mind high disdain sense injured merit Mightiest raised contend fierce contentions brought Innumerable force Spirits armed durst dislike reign preferring utmost power adverse power opposed dubious battle plains Heaven shook throne,8.73,"potent,Victor,rage,inflict,repent,change,changed,outward,lustre,fixed,mind,high,disdain,sense,injured,merit,Mightiest,raised,contend,fierce,contentions,brought,Innumerable,force,Spirits,armed,durst,dislike,reign,preferring,utmost,power,adverse,power,opposed,dubious,battle,plains,Heaven,shook,throne",0.00,
All is not lost    the unconquerable will  And study of revenge  immortal hate  And courage never to submit or yield  And what is else not to be overcome ,lost unconquerable study revenge immortal hate courage submit yield overcome,11.69,"lost,unconquerable,study,revenge,immortal,hate,courage,submit,yield,overcome",0.00,
That glory never shall his wrath or might Extort from me ,glory shall wrath Extort,12.28,"glory,shall,wrath,Extort",0.00,
To bow and sue for grace With suppliant knee  and deify his power Who  from the terror of this arm  so late Doubted his empire    that were low indeed  That were an ignominy and shame beneath This downfall  since  by fate  the strength of Gods  And this empyreal sybstance  cannot fail  Since  through experience of this great event  In arms not worse  in foresight much advanced  We may with more successful hope resolve To wage by force or guile eternal war  Irreconcilable to our grand Foe  Who now triumphs  and in th  excess of joy Sole reigning holds the tyranny of Heaven ,bow sue grace suppliant knee deify power terror arm late Doubted empire low ignominy shame beneath downfall fate strength Gods empyreal sybstance fail experience great event arms worse foresight advanced successful hope resolve wage force guile eternal war Irreconcilable grand Foe triumphs th excess joy Sole reigning holds tyranny Heaven,8.98,"bow,sue,grace,suppliant,knee,deify,power,terror,arm,late,Doubted,empire,low,ignominy,shame,beneath,downfall,fate,strength,Gods,empyreal,sybstance,fail,experience,great,event,arms,worse,foresight,advanced,successful,hope,resolve,wage,force,guile,eternal,war,Irreconcilable,grand,Foe,triumphs,th,excess,joy,Sole,reigning,holds,tyranny,Heaven",0.00,
So spake th  apostate Angel  though in pain  Vaunting aloud  but racked with deep despair  And him thus answered soon his bold compeer     O Prince  O Chief of many throned Powers That led th  embattled Seraphim to war Under thy conduct  and  in dreadful deeds Fearless  endangered Heaven  s perpetual King  And put to proof his high supremacy  Whether upheld by strength  or chance  or fate  Too well I see and rue the dire event That  with sad overthrow and foul defeat  Hath lost us Heaven  and all this mighty host In horrible destruction laid thus low  As far as Gods and heavenly Essences Can perish  for the mind and spirit remains Invincible  and vigour soon returns  Though all our glory extinct  and happy state Here swallowed up in endless misery ,spake th apostate Angel pain Vaunting aloud racked deep despair answered soon bold compeer Prince Chief throned Powers led th embattled Seraphim war thy conduct dreadful deeds Fearless endangered Heaven perpetual King proof high supremacy upheld strength chance fate rue dire event sad overthrow foul defeat Hath lost Heaven mighty host horrible destruction laid low far Gods heavenly Essences perish mind spirit remains Invincible vigour soon returns glory extinct happy state swallowed endless misery,7.52,"spake,th,apostate,Angel,pain,Vaunting,aloud,racked,deep,despair,answered,soon,bold,compeer,Prince,Chief,throned,Powers,led,th,embattled,Seraphim,war,thy,conduct,dreadful,deeds,Fearless,endangered,Heaven,perpetual,King,proof,high,supremacy,upheld,strength,chance,fate,rue,dire,event,sad,overthrow,foul,defeat,Hath,lost,Heaven,mighty,host,horrible,destruction,laid,low,far,Gods,heavenly,Essences,perish,mind,spirit,remains,Invincible,vigour,soon,returns,glory,extinct,happy,state,swallowed,endless,misery",0.00,
But what if he our Conqueror  Have left us this our spirit and strength entire  Strongly to suffer and support our pains  That we may so suffice his vengeful ire  Or do him mightier service as his thralls By right of war  whate  er his business be  Here in the heart of Hell to work in fire  Or do his errands in the gloomy Deep ,Conqueror left spirit strength entire Strongly suffer support pains suffice vengeful ire mightier service thralls right war whate er business heart Hell work fire errands gloomy Deep,11.55,"Conqueror,left,spirit,strength,entire,Strongly,suffer,support,pains,suffice,vengeful,ire,mightier,service,thralls,right,war,whate,er,business,heart,Hell,work,fire,errands,gloomy,Deep",0.00,
What can it the avail though yet we feel Strength undiminished  or eternal being To undergo eternal punishment ,avail feel Strength undiminished eternal undergo eternal punishment,9.01,"avail,feel,Strength,undiminished,eternal,undergo,eternal,punishment",0.00,
Whereto with speedy words th  Arch   Fiend replied     Fallen Cherub  to be weak is miserable  Doing or suffering  but of this be sure    To do aught good never will be our task  But ever to do ill our sole delight  As being the contrary to his high will Whom we resist ,Whereto speedy words th Arch Fiend replied Fallen Cherub weak miserable suffering sure aught good task ill sole delight contrary high resist,10.74,"Whereto,speedy,words,th,Arch,Fiend,replied,Fallen,Cherub,weak,miserable,suffering,sure,aught,good,task,ill,sole,delight,contrary,high,resist",0.00,
If then his providence Out of our evil seek to bring forth good  Our labour must be to pervert that end  And out of good still to find means of evil  Which ofttimes may succeed so as perhaps Shall grieve him  if I fail not  and disturb His inmost counsels from their destined aim ,providence evil seek bring forth good labour pervert end good find means evil ofttimes succeed Shall grieve fail disturb inmost counsels destined aim,11.07,"providence,evil,seek,bring,forth,good,labour,pervert,end,good,find,means,evil,ofttimes,succeed,Shall,grieve,fail,disturb,inmost,counsels,destined,aim",0.00,
