Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
 The driver came to Mary about a week after her mother  s death  and told her that the rent must be brought in the next day  and that she must leave the cabin  for a new tenant was coming into it  that she was too young to have a house to herself  and that the only thing she had to do was to get some neighbour to take her and her brother and her sisters in for charity  s sake ,driver came Mary week mother death told rent brought day leave cabin new tenant coming young house thing neighbour brother sisters charity sake,15.04,"driver,came,Mary,week,mother,death,told,rent,brought,day,leave,cabin,new,tenant,coming,young,house,thing,neighbour,brother,sisters,charity,sake",0.00,
 A hard   hearted man ,hard hearted man,4.55,"hard,hearted,man",0.00,
The driver finished by hinting that she would not be so hardly used if she had not brought upon herself the ill   will of Miss Alice  the agent  s daughter ,driver finished hinting hardly brought ill Miss Alice agent daughter,12.82,"driver,finished,hinting,hardly,brought,ill,Miss,Alice,agent,daughter",0.00,
Mary  it is true  had refused to give Miss Alice a goat upon which she had set her fancy  but this was the only offence of which she had been guilty  and at the time she refused it her mother wanted the goat  s milk  which was the only thing she then liked to drink ,Mary true refused Miss Alice goat set fancy offence guilty time refused mother wanted goat milk thing liked drink,13.53,"Mary,true,refused,Miss,Alice,goat,set,fancy,offence,guilty,time,refused,mother,wanted,goat,milk,thing,liked,drink",0.00,
Mary went immediately to Mr  Hopkins  the agent  to pay her rent  and she begged of him to let her stay another year in her cabin  but this he refused ,Mary went immediately Mr Hopkins agent pay rent begged let stay year cabin refused,10.60,"Mary,went,immediately,Mr,Hopkins,agent,pay,rent,begged,let,stay,year,cabin,refused",0.00,
It was now September th  and he said that the new tenant must come in on the th  so that she must quit it directly ,September th said new tenant come th quit directly,13.91,"September,th,said,new,tenant,come,th,quit,directly",0.00,
Mary could not bear the thoughts of begging any of the neighbours to take her and her brother and sisters in FOR CHARITY  S SAKE  for the neighbours were all poor enough themselves ,Mary bear thoughts begging neighbours brother sisters CHARITY SAKE neighbours poor,12.15,"Mary,bear,thoughts,begging,neighbours,brother,sisters,CHARITY,SAKE,neighbours,poor",0.00,
So she bethought herself that she might find shelter in the ruins of the old castle of Rossmore where she and her brother  in better times  had often played at hide and seek ,bethought find shelter ruins old castle Rossmore brother better times played hide seek,11.49,"bethought,find,shelter,ruins,old,castle,Rossmore,brother,better,times,played,hide,seek",0.00,
The kitchen and two other rooms near it were yet covered in tolerably well  and a little thatch  she thought  would make them comfortable through the winter ,kitchen rooms near covered tolerably little thatch thought comfortable winter,10.83,"kitchen,rooms,near,covered,tolerably,little,thatch,thought,comfortable,winter",0.00,
The agent consented to let her and her brother and sisters go in there  upon her paying him half a guinea in hand  and promising to pay the same yearly ,agent consented let brother sisters paying half guinea hand promising pay yearly,11.84,"agent,consented,let,brother,sisters,paying,half,guinea,hand,promising,pay,yearly",0.00,
Into these lodgings the orphans now removed  taking with them two bedsteads  a stool  chair and a table  a sort of press  which contained what little clothes they had  and a chest in which they had two hundred of meal ,lodgings orphans removed taking bedsteads stool chair table sort press contained little clothes chest meal,11.47,"lodgings,orphans,removed,taking,bedsteads,stool,chair,table,sort,press,contained,little,clothes,chest,meal",0.00,
The chest was carried for them by some of the charitable neighbours  who likewise added to their scanty stock of potatoes and turf what would make it last through the winter ,chest carried charitable neighbours likewise added scanty stock potatoes turf winter,11.49,"chest,carried,charitable,neighbours,likewise,added,scanty,stock,potatoes,turf,winter",0.00,
These children were well thought of and pitied  because their mother was known to have been all her life honest and industrious ,children thought pitied mother known life honest industrious,10.94,"children,thought,pitied,mother,known,life,honest,industrious",0.00,
 Sure  says one of the neighbours   we can do no less than give a helping hand to the poor orphans  that are so ready to help themselves ,Sure says neighbours helping hand poor orphans ready help,13.14,"Sure,says,neighbours,helping,hand,poor,orphans,ready,help",0.00,
So one helped to thatch the room in which they were to sleep  and another took their cow to graze upon his bit of land on condition of having half the milk  and one and all said they should be welcome to take share of their potatoes and buttermilk if they should find their own ever fall short ,helped thatch room sleep took cow graze bit land condition half milk said welcome share potatoes buttermilk find fall short,12.93,"helped,thatch,room,sleep,took,cow,graze,bit,land,condition,half,milk,said,welcome,share,potatoes,buttermilk,find,fall,short",0.00,
The half   guinea which Mr  Hopkins  the agent  required for letting Mary into the castle  was part of what she had to pay to the schoolmistress  to whom above a guinea was due ,half guinea Mr Hopkins agent required letting Mary castle pay schoolmistress guinea,11.86,"half,guinea,Mr,Hopkins,agent,required,letting,Mary,castle,pay,schoolmistress,guinea",0.00,
Mary went to her  and took her goat along with her  and offered it in part of payment of the debt  but the schoolmistress would not receive the goat ,Mary went took goat offered payment debt schoolmistress receive goat,12.75,"Mary,went,took,goat,offered,payment,debt,schoolmistress,receive,goat",0.00,
She said that she could afford to wait for her money till Mary was able to pay it  that she knew her to be an honest  industrious little girl  and she would trust her with more than a guinea ,said afford wait money till Mary able pay knew honest industrious little girl trust guinea,12.57,"said,afford,wait,money,till,Mary,able,pay,knew,honest,industrious,little,girl,trust,guinea",0.00,
Mary thanked her  and she was glad to take the goat home again  as she was very fond of it ,Mary thanked glad goat home fond,15.38,"Mary,thanked,glad,goat,home,fond",0.00,
Being now settled in their house  they went every day regularly to work  Maud spun nine cuts a day  besides doing all that was to be done in the house  Edmund got fourpence a day by his work  and Peggy and Annie earned twopence apiece at the paper   mills near Navan  where they were employed to sort rags  and to cut them into small pieces ,settled house went day regularly work Maud spun cuts day house Edmund got fourpence day work Peggy Annie earned twopence apiece paper mills near Navan employed sort rags cut small pieces,9.97,"settled,house,went,day,regularly,work,Maud,spun,cuts,day,house,Edmund,got,fourpence,day,work,Peggy,Annie,earned,twopence,apiece,paper,mills,near,Navan,employed,sort,rags,cut,small,pieces",0.00,
When they had done work one day  Annie went to the master of the paper   mill and asked him if she might have two sheets of large white paper which were lying on the press ,work day Annie went master paper mill asked sheets large white paper lying press,12.21,"work,day,Annie,went,master,paper,mill,asked,sheets,large,white,paper,lying,press",0.00,
She offered a penny for the paper  but the master would not take anything from her  but gave her the paper when he found that she wanted it to make a garland for her mother  s grave ,offered penny paper master gave paper found wanted garland mother grave,14.29,"offered,penny,paper,master,gave,paper,found,wanted,garland,mother,grave",0.00,
Annie and Peggy cut out the garland  and Mary  when it was finished  went along with them and Edmund to put it up ,Annie Peggy cut garland Mary finished went Edmund,13.16,"Annie,Peggy,cut,garland,Mary,finished,went,Edmund",0.00,
It was just a month after their mother  s death ,month mother death,14.58,"month,mother,death",0.00,
It happened  at the time the orphans were putting up this garland  that two young ladies  who were returning home after their evening walk  stopped at the gate of the churchyard to look at the red light which the setting sun cast upon the window of the church ,happened time orphans putting garland young ladies returning home evening walk stopped gate churchyard look red light setting sun cast window church,10.00,"happened,time,orphans,putting,garland,young,ladies,returning,home,evening,walk,stopped,gate,churchyard,look,red,light,setting,sun,cast,window,church",0.00,
As the ladies were standing at the gate  they heard a voice near them crying   O  mother ,ladies standing gate heard voice near crying mother,10.11,"ladies,standing,gate,heard,voice,near,crying,mother",0.00,
They could not see anyone  so they walked softly round to the other side of the church  and there they saw Mary kneeling beside a grave  on which her brothers and sisters were hanging their white garlands ,walked softly round church saw Mary kneeling grave brothers sisters hanging white garlands,11.71,"walked,softly,round,church,saw,Mary,kneeling,grave,brothers,sisters,hanging,white,garlands",0.00,
The children all stood still when they saw the two ladies passing near them  but Mary did not know anybody was passing  for her face was hid in her hands ,children stood saw ladies passing near Mary know anybody passing face hid hands,11.04,"children,stood,saw,ladies,passing,near,Mary,know,anybody,passing,face,hid,hands",0.00,
Isabella and Caroline  would not disturb the poor children  but they stopped in the village to inquire about them ,Isabella Caroline disturb poor children stopped village inquire,9.65,"Isabella,Caroline,disturb,poor,children,stopped,village,inquire",0.00,
It was at the house of the schoolmistress that they stopped  and she gave them a good account of these orphans ,house schoolmistress stopped gave good account orphans,12.61,"house,schoolmistress,stopped,gave,good,account,orphans",0.00,
She particularly commended Mary  s honesty  in having immediately paid all her mother  s debts to the utmost farthing  as far as her money would go ,particularly commended Mary honesty immediately paid mother debts utmost farthing far money,9.46,"particularly,commended,Mary,honesty,immediately,paid,mother,debts,utmost,farthing,far,money",0.00,
