Unclean,Clean,Noise_Pre_Processing,Training_Data,Noise_Post_Processing,Query
Thus did my mother say  and kissed me  And thus I say to little English boy ,mother kissed little English boy,14.47,"mother,kissed,little,English,boy",0.00,
When I from black and he from white cloud free  And round the tent of God like lambs we joy,black white cloud free round tent God like lambs joy,10.99,"black,white,cloud,free,round,tent,God,like,lambs,joy",0.00,
I  ll shade him from the heat till he can bear To lean in joy upon our Father  s knee  And then I  ll stand and stroke his silver hair  And be like him  and he will then love me ,shade heat till bear lean joy Father knee stand stroke silver hair like love,14.61,"shade,heat,till,bear,lean,joy,Father,knee,stand,stroke,silver,hair,like,love",0.00,
Merry  merry sparrow ,Merry merry sparrow,0.00,"Merry,merry,sparrow",0.00,
Under leaves so green A happy blossom Sees you  swift as arrow  Seek your cradle narrow  Near my bosom ,leaves green happy blossom Sees swift arrow Seek cradle narrow Near bosom,6.80,"leaves,green,happy,blossom,Sees,swift,arrow,Seek,cradle,narrow,Near,bosom",0.00,
Pretty  pretty robin ,Pretty pretty robin,0.00,"Pretty,pretty,robin",0.00,
Under leaves so green A happy blossom Hears you sobbing  sobbing  Pretty  pretty robin  Near my bosom ,leaves green happy blossom Hears sobbing sobbing Pretty pretty robin Near bosom,4.90,"leaves,green,happy,blossom,Hears,sobbing,sobbing,Pretty,pretty,robin,Near,bosom",0.00,
When my mother died I was very young  And my father sold me while yet my tongue Could scarcely cry  Weep ,mother died young father sold tongue scarcely cry Weep,11.43,"mother,died,young,father,sold,tongue,scarcely,cry,Weep",0.00,
So your chimneys I sweep  and in soot I sleep ,chimneys sweep soot sleep,13.04,"chimneys,sweep,soot,sleep",0.00,
There  s little Tom Dacre  who cried when his head  That curled like a lamb  s back  was shaved  so I said   Hush  Tom ,little Tom Dacre cried head curled like lamb shaved said Hush Tom,10.08,"little,Tom,Dacre,cried,head,curled,like,lamb,shaved,said,Hush,Tom",0.00,
never mind it  for  when your head  s bare  You know that the soot cannot spoil your white hair ,mind head bare know soot spoil white hair,11.46,"mind,head,bare,know,soot,spoil,white,hair",0.00,
And so he was quiet  and that very night  As Tom was a   sleeping  he had such a sight ,quiet night Tom sleeping sight,16.09,"quiet,night,Tom,sleeping,sight",0.00,
   That thousands of sweepers  Dick  Joe  Ned  and Jack  Were all of them locked up in coffins of black ,thousands sweepers Dick Joe Ned Jack locked coffins black,9.62,"thousands,sweepers,Dick,Joe,Ned,Jack,locked,coffins,black",0.00,
And by came an angel  who had a bright key  And he opened the coffins  and let them all free  Then down a green plain  leaping  laughing  they run  And wash in a river  and shine in the sun ,came angel bright key opened coffins let free green plain leaping laughing run wash river shine sun,11.58,"came,angel,bright,key,opened,coffins,let,free,green,plain,leaping,laughing,run,wash,river,shine,sun",0.00,
Then naked and white  all their bags left behind  They rise upon clouds  and sport in the wind  And the Angel told Tom  if he  d be a good boy  He  d have God for his father  and never want joy ,naked white bags left rise clouds sport wind Angel told Tom good boy God father want joy,12.37,"naked,white,bags,left,rise,clouds,sport,wind,Angel,told,Tom,good,boy,God,father,want,joy",0.00,
And so Tom awoke  and we rose in the dark  And got with our bags and our brushes to work ,Tom awoke rose dark got bags brushes work,13.48,"Tom,awoke,rose,dark,got,bags,brushes,work",0.00,
Though the morning was cold  Tom was happy and warm  So  if all do their duty  they need not fear harm ,morning cold Tom happy warm duty need fear harm,11.65,"morning,cold,Tom,happy,warm,duty,need,fear,harm",0.00,
THE LITTLE BOY LOST,LITTLE BOY LOST,5.26,"LITTLE,BOY,LOST",0.00,
 Father  father  where are you going ,Father father going,8.11,"Father,father,going",0.00,
Oh do not walk so fast ,Oh walk fast,13.04,"Oh,walk,fast",0.00,
Speak  father  speak to you little boy  Or else I shall be lost ,Speak father speak little boy shall lost,9.38,"Speak,father,speak,little,boy,shall,lost",0.00,
The night was dark  no father was there  The child was wet with dew  The mire was deep  and the child did weep  And away the vapour flew ,night dark father child wet dew mire deep child weep away vapour flew,10.95,"night,dark,father,child,wet,dew,mire,deep,child,weep,away,vapour,flew",0.00,
THE LITTLE BOY FOUND,LITTLE BOY FOUND,5.00,"LITTLE,BOY,FOUND",0.00,
The little boy lost in the lonely fen  Led by the wandering light  Began to cry  but God  ever nigh  Appeared like his father  in white ,little boy lost lonely fen Led wandering light Began cry God nigh Appeared like father white,7.35,"little,boy,lost,lonely,fen,Led,wandering,light,Began,cry,God,nigh,Appeared,like,father,white",0.00,
He kissed the child  and by the hand led  And to his mother brought  Who in sorrow pale  through the lonely dale  The little boy weeping sought ,kissed child hand led mother brought sorrow pale lonely dale little boy weeping sought,9.03,"kissed,child,hand,led,mother,brought,sorrow,pale,lonely,dale,little,boy,weeping,sought",0.00,
When the green woods laugh with the voice of joy  And the dimpling stream runs laughing by  When the air does laugh with our merry wit  And the green hill laughs with the noise of it ,green woods laugh voice joy dimpling stream runs laughing air laugh merry wit green hill laughs noise,10.38,"green,woods,laugh,voice,joy,dimpling,stream,runs,laughing,air,laugh,merry,wit,green,hill,laughs,noise",0.00,
when the meadows laugh with lively green  And the grasshopper laughs in the merry scene  When Mary and Susan and Emily With their sweet round mouths sing  Ha  ha he ,meadows laugh lively green grasshopper laughs merry scene Mary Susan Emily sweet round mouths sing Ha ha,7.88,"meadows,laugh,lively,green,grasshopper,laughs,merry,scene,Mary,Susan,Emily,sweet,round,mouths,sing,Ha,ha",0.00,
When the painted birds laugh in the shade  Where our table with cherries and nuts is spread  Come live  and be merry  and join with me  To sing the sweet chorus of  Ha  ha  he ,painted birds laugh shade table cherries nuts spread Come live merry join sing sweet chorus Ha ha,10.23,"painted,birds,laugh,shade,table,cherries,nuts,spread,Come,live,merry,join,sing,sweet,chorus,Ha,ha",0.00,
Sweet dreams  form a shade O  er my lovely infant  s head ,Sweet dreams form shade er lovely infant head,6.90,"Sweet,dreams,form,shade,er,lovely,infant,head",0.00,
